objetivo_clave,objetivo_desc,meta_clave,meta_codigo,meta_desc,indicador_clave,indicador_codigo,indicador_desc,clave_serie,num_registros,tiene_valores,tipo,desglose_geo
ODS0020,Hambre cero,ODS00200008,Meta 2.2.,"De aquí a 2030, poner fin a todas las formas de malnutrición, incluso logrando, a más tardar en 2025, las metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciación de los niños menores de 5 años, y abordar las necesidades de nutrición de las adolescentes, las mujeres embarazadas y lactantes y las personas de edad",ODS002000080020,2.2.2,"Prevalencia de la malnutrición (peso para la estatura, desviación típica > +2 o < -2 de la mediana de los patrones de crecimiento infantil de la OMS) entre la población menor a 5 años, desglosada por tipo (emaciación y sobrepeso)",1639,1320,True,Global,Desglose por entidad federativa
ODS0020,Hambre cero,ODS00200008,Meta 2.2.,"De aquí a 2030, poner fin a todas las formas de malnutrición, incluso logrando, a más tardar en 2025, las metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciación de los niños menores de 5 años, y abordar las necesidades de nutrición de las adolescentes, las mujeres embarazadas y lactantes y las personas de edad",ODS002000080030,2.2.2(1),"Prevalencia de emaciación (peso para la estatura, desviación típica <-2 de la mediana de los patrones de crecimiento infantil de la OMS) entre la población menor a 5 años",1633,1155,True,Global,Desglose por entidad federativa
ODS0020,Hambre cero,ODS00200008,Meta 2.2.,"De aquí a 2030, poner fin a todas las formas de malnutrición, incluso logrando, a más tardar en 2025, las metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciación de los niños menores de 5 años, y abordar las necesidades de nutrición de las adolescentes, las mujeres embarazadas y lactantes y las personas de edad",ODS002000080040,2.2.2(2),"Prevalencia de sobrepeso u obesidad (peso para la estatura, desviación típica >+2 de los patrones de crecimiento infantil de la OMS) entre la población menor a 5 años",1636,1320,True,Global,Desglose por entidad federativa
ODS0020,Hambre cero,ODS00200008,Meta 2.2.,"De aquí a 2030, poner fin a todas las formas de malnutrición, incluso logrando, a más tardar en 2025, las metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciación de los niños menores de 5 años, y abordar las necesidades de nutrición de las adolescentes, las mujeres embarazadas y lactantes y las personas de edad",ODS002000080050,2.2.3.a,"Prevalencia de la anemia en las mujeres de entre 15 y 49 años, desglosada por embarazo (medición mediante sangre venosa)",1998,27,True,Global,Sin desglose geográfico
ODS0020,Hambre cero,ODS00200008,Meta 2.2.,"De aquí a 2030, poner fin a todas las formas de malnutrición, incluso logrando, a más tardar en 2025, las metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciación de los niños menores de 5 años, y abordar las necesidades de nutrición de las adolescentes, las mujeres embarazadas y lactantes y las personas de edad",ODS002000080060,2.2.3.b,"Prevalencia de la anemia en las mujeres de entre 15 y 49 años, desglosada por embarazo (medición mediante sangre capilar)",2001,36,True,Global,Sin desglose geográfico
ODS0020,Hambre cero,ODS00200069,Meta 2n.1,Acceso a una alimentación nutritiva y de calidad,ODS002000690010,2n.1.1,Porcentaje de la población menor de 5 años que presenta algún tipo de desnutrición,1002,1320,True,Nacional,Desglose por entidad federativa
ODS0020,Hambre cero,ODS00200079,Meta 2n.2,Seguridad alimentaria,ODS002000790010,2n.2.1,Porcentaje de población con inseguridad alimentaria moderada o severa,1746,96,True,Nacional,Sin desglose geográfico
ODS0020,Hambre cero,ODS00200079,Meta 2n.2,Seguridad alimentaria,ODS002000790020,2n.2.1.a,"Porcentaje de población con inseguridad alimentaria moderada o severa, por desglose geográfico y grupo poblacional (Entidad federativa).",1716,1320,True,Nacional,Desglose por entidad federativa
ODS0020,Hambre cero,ODS00200079,Meta 2n.2,Seguridad alimentaria,ODS002000790025,2n.2.1.b,"Porcentaje de población con inseguridad alimentaria moderada o severa, por desglose geográfico y grupo poblacional (Municipio o demarcación territorial)",1719,75090,True,Nacional,Desglose por entidad federativa y municipio
ODS0020,Hambre cero,ODS00200079,Meta 2n.2,Seguridad alimentaria,ODS002000790030,2n.2.2,Porcentaje de población con carencia por acceso a la alimentación nutritiva y de calidad,1680,96,True,Nacional,Sin desglose geográfico
